"Content ID","Category","Value"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","",""
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","-10"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","-15"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","0"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","30"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","35"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","70"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","-5"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","35"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","65"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","20"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","-15"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","30"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","-5"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","-15"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","75"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","35"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","20"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","30"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","45"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","35"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","-12"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","50"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","60"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","-12"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","-5"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","-5"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","70"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","75"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","45"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","-15"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","30"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","20"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","75"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","0"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","75"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","30"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","-10"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","-15"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","-10"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","","70"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","30"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","20"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","-12"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying","-5"
"97522e57-d9ab-4bd6-97bf-c24d952602d2","Studying",""
"9f737e0a-3cdd-4d29-9d24-753f4e3be810","",""
"9f737e0a-3cdd-4d29-9d24-753f4e3be810","healthy eating","45"
"9f737e0a-3cdd-4d29-9d24-753f4e3be810","healthy eating","35"
"9f737e0a-3cdd-4d29-9d24-753f4e3be810","healthy eating","-15"
"9f737e0a-3cdd-4d29-9d24-753f4e3be810","healthy eating","-5"
"9f737e0a-3cdd-4d29-9d24-753f4e3be810","healthy eating","0"
"9f737e0a-3cdd-4d29-9d24-753f4e3be810","healthy eating","-5"
"9f737e0a-3cdd-4d29-9d24-753f4e3be810","healthy eating","50"
"9f737e0a-3cdd-4d29-9d24-753f4e3be810","healthy eating","65"
"9f737e0a-3cdd-4d29-9d24-753f4e3be810","healthy eating","65"
"9f737e0a-3cdd-4d29-9d24-753f4e3be810","","60"
"9f737e0a-3cdd-4d29-9d24-753f4e3be810","healthy eating","20"
"9f737e0a-3cdd-4d29-9d24-753f4e3be810","healthy eating","35"
"9f737e0a-3cdd-4d29-9d24-753f4e3be810","healthy eating","65"
"9f737e0a-3cdd-4d29-9d24-753f4e3be810","healthy eating","50"
"9f737e0a-3cdd-4d29-9d24-753f4e3be810","healthy eating",""
"230c4e4d-70c3-461d-b42c-ec09396efb3f","",""
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","75"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","72"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","-15"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","70"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","72"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","30"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","60"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","50"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","50"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","","-5"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","30"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","-10"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","35"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","60"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","75"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","70"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","-5"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","-10"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","-15"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","","-10"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","70"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","30"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","65"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","60"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","0"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","72"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","72"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","72"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating","-12"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","","30"
"230c4e4d-70c3-461d-b42c-ec09396efb3f","healthy eating",""
"356fff80-da4d-4785-9f43-bc1261031dc6","",""
"356fff80-da4d-4785-9f43-bc1261031dc6","technology","70"
"356fff80-da4d-4785-9f43-bc1261031dc6","technology","60"
"356fff80-da4d-4785-9f43-bc1261031dc6","technology","-15"
"356fff80-da4d-4785-9f43-bc1261031dc6","technology","60"
"356fff80-da4d-4785-9f43-bc1261031dc6","technology","-5"
"356fff80-da4d-4785-9f43-bc1261031dc6","technology","20"
"356fff80-da4d-4785-9f43-bc1261031dc6","technology",""
"01ab84dd-6364-4236-abbb-3f237db77180","",""
"01ab84dd-6364-4236-abbb-3f237db77180","food",""
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","",""
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","-5"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","70"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","35"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","-10"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","65"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","70"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","30"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","72"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","50"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","","50"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","70"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","20"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","72"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","-12"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","35"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","-10"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","-10"
"cf1e8c1a-23eb-4426-9f58-002fb1b53e91","cooking","45"
